,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
1883,Roving Mars,7.2,N/A,976,40min,27 January 2006 (USA),George Butler
1884,Portrait of Jason,7.2,87,976,1h 45min,29 September 1967 (USA),Shirley Clarke
1885,Eddie Izzard: Sexie,7.5,N/A,975,1h 37min,Video 26 November 2003,Declan Lowney
1886,Eames: The Architect & The Painter,7.2,63,974,1h 25min,3 August 2012 (UK),Jason Cohn
1887,Mission to Lars,6.7,62,973,1h 14min,25 September 2015 (USA),James Moore
1888,Sky Tour: The Movie,5.2,N/A,970,1h 34min,12 June 2020 (Vietnam),Son Tung Mtp
1889,The Barbershop,5.3,N/A,970,1min,1894 (USA),William K.L. Dickson
1890,Quebrando o Tabu,7.6,N/A,969,1h 20min,7 December 2012 (USA),Fernando Grostein Andrade
1891,The Hamster Factor and Other Tales of Twelve Monkeys,7.6,N/A,969,1h 28min,Video November 1996,Keith Fulton
1892,Beers of Joy,8.6,N/A,968,1h 58min,1 March 2019 (USA),David Swift
1893,Spirits in the Forest,7.6,N/A,968,1h 23min,21 November 2019 (USA),Anton Corbijn
1894,27: Gone Too Soon,4.8,N/A,967,1h 30min,26 March 2018 (UK),Simon Napier-Bell
1895,Wrestling Isn't Wrestling,8.5,N/A,967,25min,Video 14 March 2015,Max Landis
1896,The Sheik,7.1,N/A,967,1h 35min,26 April 2014 (Canada),Igal Hecht
1897,Safari,7.1,N/A,966,1h 31min,24 May 2017 (Denmark),Ulrich Seidl
1898,Making Fun: The Story of Funko,6.5,N/A,965,1h 39min,24 May 2018 (USA),David Romero
1899,By the People: The Election of Barack Obama,6.0,N/A,965,1h 56min,7 August 2009 (USA),Amy Rice
1900,The Brandon Teena Story,7.2,N/A,965,1h 29min,23 September 1998 (USA),Susan Muska
1901,Britney Spears Live from Las Vegas,7.7,N/A,964,1h 30min,TV Special 18 November 2001,Marty Callner
1902,L'amour fou,6.8,63,962,1h 38min,13 May 2011 (USA),Pierre Thoretton
1903,Planet B-Boy,7.7,63,961,1h 35min,21 March 2008 (USA),Benson Lee
1904,Jack of all Trades,5.9,N/A,960,1h 25min,9 April 2019 (USA),Harvey Glazer
1905,Patti Smith: Dream of Life,7.1,66,959,1h 49min,2 April 2008 (France),Steven Sebring
1906,The Monday Night War: WWE Raw vs. WCW Nitro,8.0,N/A,958,3h,Video 3 February 2004,Kevin Dunn
1907,Witch Hunt,7.4,N/A,957,1h 31min,2 November 2008 (USA),Don Hardy
1908,Spaceship Earth,6.4,73,957,1h 53min,8 May 2020 (USA),Matt Wolf
1909,Punk's Not Dead,7.1,N/A,956,1h 33min,1 September 2007 (Japan),Susan Dynner
1910,Under Our Skin,7.9,63,955,1h 44min,19 June 2009 (USA),Andrew Abrahams
1911,Puskás Hungary,8.7,N/A,955,1h 56min,12 March 2009 (Hungary),Tamás Almási
1912,Zion,7.2,N/A,954,12min,10 August 2018 (USA),Floyd Russ
1913,Scream for Me Sarajevo,8.9,N/A,954,1h 35min,17 April 2018 (USA),Tarik Hodzic
1914,"Bruce Lee, the Legend",7.3,N/A,953,1h 28min,1984 (Hong Kong),Leonard Ho
1915,Showbiz Kids,7.0,N/A,953,1h 35min,15 July 2020 (Spain),Alex Winter
1916,ReMastered: Who Shot the Sheriff?,6.9,N/A,951,57min,TV Movie 12 October 2018,Kief Davidson
1917,The Mindscape of Alan Moore,7.6,N/A,951,1h 20min,21 August 2005 (Denmark),Dez Vylenz
1918,Black Tar Heroin: The Dark End of the Street,8.0,N/A,951,1h 15min,17 March 2000 (USA),Steven Okazaki
1919,Wrinkles the Clown,4.8,N/A,950,1h 18min,4 October 2019 (USA),Michael Beach Nichols
1920,This Ain't California,7.4,76,950,1h 40min,16 August 2012 (Germany),Marten Persiel
1921,Life and Debt,7.5,67,949,1h 20min,28 February 2003 (UK),Stephanie Black
1922,Big Easy Express,7.6,N/A,948,1h 38min,7 June 2014 (Japan),Emmett Malloy
1923,Our Planet: Behind the Scenes,8.3,N/A,948,1h 3min,TV Movie 2 August 2019,Huw Cordey
1924,Rock and a Hard Place,7.4,N/A,947,1h 21min,TV Movie 27 March 2017,Jon Alpert
1925,Space Odyssey: Voyage to the Planets,7.7,N/A,945,1h 40min,TV Movie 9 November 2004,Joe Ahearne
1926,Margaret Cho: Notorious C.H.O.,7.0,66,944,1h 35min,TV Special 13 June 2002,Lorene Machado
1927,Afghan Star,7.3,78,943,1h 27min,16 January 2009 (USA),Havana Marking
1928,Fade to Black,6.9,N/A,943,1h 49min,5 November 2004 (USA),Patrick Paulson
1929,Sound and Fury,7.9,85,943,1h 20min,21 January 2000 (USA),Josh Aronson
1930,The Battle of Chile: Part II,8.2,N/A,943,1h 28min,13 March 1976 (Cuba),Patricio Guzmán
1931,The Black Godfather,7.4,69,942,1h 58min,7 June 2019 (USA),Reginald Hudlin
1932,Saturday Night Live: The Best of Phil Hartman,7.8,N/A,942,1h 24min,TV Special 13 June 1998,Beth McCarthy-Miller
1933,The Goebbels Experiment,7.3,67,942,1h 48min,13 April 2005 (Germany),Lutz Hachmeister
1934,The King,6.6,70,941,1h 47min,22 June 2018 (USA),Eugene Jarecki
1935,Captivated: The Trials of Pamela Smart,6.5,N/A,941,1h 38min,15 August 2014 (USA),Jeremiah Zagar
1936,Sweetgrass,6.8,80,941,1h 41min,22 April 2011 (UK),Ilisa Barbash
1937,That Vitamin Movie,9.2,N/A,938,1h 26min,1 January 2016 (UK),Michael Beattie
1938,Knjiga rekorda Sutke,8.2,N/A,938,1h 18min,3 November 2005 (Netherlands),Aleksandar Manic
1939,Keep on Keepin' On,7.8,77,937,1h 24min,5 March 2015 (Netherlands),Alan Hicks
1940,J.C. Chávez,6.0,N/A,937,1h 18min,18 May 2007 (Mexico),Diego Luna
1941,Memoria del saqueo,8.0,N/A,937,2h,18 March 2004 (Argentina),Fernando E. Solanas
1942,U2: Zoo TV Live from Sydney,8.8,N/A,937,1h 58min,N/A,David Mallet
1943,A Good American,7.3,63,936,1h 40min,3 February 2017 (USA),Friedrich Moser
1944,Mortified Nation,7.3,N/A,936,1h 24min,5 November 2013 (USA),Michael Mayer
1945,Tesla: Master of Lightning,8.0,N/A,935,1h 27min,TV Movie,Robert Uth
1946,Varázslat - A Queen Budapesten,8.6,N/A,935,1h 30min,1 January 1987 (Hungary),János Zsombolyai
1947,"As Above, So Below: The Underworld of 'John Wick'",7.8,N/A,934,5min,Video 13 June 2017,Josh Oreck
1948,Advanced Style,7.3,66,934,1h 12min,9 May 2014 (UK),Lina Plioplyte
1949,Welcome to Chechnya,8.0,86,934,1h 47min,30 June 2020 (USA),David France
1950,Mifune: The Last Samurai,7.2,64,933,1h 20min,25 November 2016 (USA),Steven Okazaki
1951,Louis Theroux: Law and Disorder in Philadelphia,7.5,N/A,933,1h,2008 (UK),Emma Cooper
1952,Kidnapped for Christ,7.0,N/A,933,1h 25min,10 July 2014 (USA),Kate Logan
1953,Britney: For the Record,7.7,N/A,932,1h 8min,TV Movie 30 November 2008,Phil Griffin
1954,Beef,7.3,N/A,932,1h 43min,August 2003 (USA),Peter Spirer
1955,Winter Soldier,8.2,N/A,932,1h 36min,19 June 2010 (Japan),Rusty Sachs
1956,The Hacker Wars,6.5,N/A,931,1h 31min,17 October 2014 (USA),Vivien Lesnik Weisman
1957,Roy Orbison and Friends: A Black and White Night,8.9,N/A,929,1h 4min,TV Special 11 November 1988,Roy Orbison
1958,The Director and the Jedi,7.4,N/A,928,1h 35min,12 March 2018 (USA),Anthony Wonke
1959,Dust to Glory,7.5,61,928,1h 37min,22 April 2005 (USA),Dana Brown
1960,Cordeliers' Square in Lyon,5.6,N/A,928,1min,28 December 1895 (France),Louis Lumière
1961,Stop The Pounding Heart,6.7,70,927,1h 38min,5 December 2013 (Italy),Roberto Minervini
1962,K2: Siren of the Himalayas,7.2,63,927,1h 15min,4 November 2014 (USA),Dave Ohlson
1963,Filmage: The Story of Descendents/All,8.2,N/A,927,1h 30min,30 September 2014 (USA),Deedle Lacour
1964,Above Majestic,6.3,N/A,926,2h 13min,30 October 2018 (USA),Roger R. Richards
1965,The Motivation,6.8,N/A,925,1h 28min,25 April 2013 (USA),Adam Bhala Lough
1966,The Lost Tomb of Jesus,5.9,N/A,925,1h 42min,TV Movie March 2007,Simcha Jacobovici
1967,Kate Plays Christine,6.2,75,924,1h 52min,14 October 2016 (UK),Robert Greene
1968,We Jam Econo: The Story of the Minutemen,7.7,66,924,1h 31min,25 February 2005 (USA),Tim Irwin
1969,Farmlands,8.6,N/A,922,1h 13min,25 June 2018 (USA),Lauren Southern
1970,Daybreak Express,7.4,N/A,922,5min,1953 (USA),D.A. Pennebaker
1971,Drew: The Man Behind the Poster,7.5,N/A,921,1h 37min,19 July 2013 (USA),Erik Sharkey
1972,Conspiracy Theory: Did We Land on the Moon?,5.7,N/A,921,45min,TV Movie 15 February 2001,John Moffet
1973,Glas,7.9,N/A,921,11min,29 April 1964 (Finland),Bert Haanstra
1974,Grass: A Nation's Battle for Life,7.8,N/A,921,1h 11min,18 February 1926 (Denmark),Merian C. Cooper
1975,"Ni juge, ni soumise",7.4,N/A,920,1h 40min,7 February 2018 (France),Yves Hinant
1976,Queen Rock Montreal & Live Aid,8.7,N/A,920,2h 18min,Video 30 July 2009,Saul Swimmer
1977,Eating Animals,7.3,69,919,1h 34min,15 June 2018 (USA),Christopher Dillon Quinn
1978,The Great White Silence,8.0,N/A,918,1h 20min,1924 (UK),Herbert G. Ponting
1979,Sea Monsters: A Prehistoric Adventure,7.0,N/A,918,40min,5 October 2007 (USA),Sean MacLeod Phillips
1980,The Hour of the Furnaces,7.8,N/A,918,4h 20min,1 November 1973 (Argentina),Octavio Getino
1981,Up All Night: The Live Tour,7.6,N/A,917,1h 13min,Video 28 May 2012,Andy Saunders
1982,Katt Williams: American Hustle,6.7,N/A,917,1h 30min,Video 26 October 2007,Brit McAdams
1983,Eagles of Death Metal: Nos Amis (Our Friends),7.9,72,916,1h 24min,10 February 2017 (USA),Colin Hanks
1984,John Wick: Calling in the Cavalry,8.4,N/A,916,14min,3 February 2015 (USA),Josh Oreck
1985,Being Evel,7.2,72,916,1h 39min,21 August 2015 (USA),Daniel Junge
1986,S Is for Stanley,7.0,N/A,916,1h 18min,27 January 2017 (USA),Alex Infascelli
1987,Horror Noire: A History of Black Horror,7.7,N/A,916,1h 23min,7 February 2019 (USA),Xavier Burgin
1988,Spitfire,7.5,N/A,915,1h 39min,15 July 2018 (UK),David Fairhead
1989,Spinning Plates,7.1,65,915,1h 33min,25 October 2013 (USA),Joseph Levy
1990,Ghosts of Abu Ghraib,7.8,N/A,915,1h 18min,19 January 2007 (USA),Rory Kennedy
1991,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,8.5,N/A,915,4h 48min,12 December 2001 (USA),Jonas Mekas
1992,Meeting Woody Allen,6.9,N/A,915,26min,1986 (France),Jean-Luc Godard
1993,City of Gold,7.2,72,914,1h 36min,11 March 2016 (USA),Laura Gabbert
1994,The Human Experience,7.1,N/A,914,1h 30min,12 June 2008 (USA),Charles Francis Kinnane
1995,Ron White: You Can't Fix Stupid,7.4,N/A,914,1h,TV Special 25 March 2006,Michael Drumm
1996,A Grin Without A Cat,8.0,81,914,4h,23 November 1977 (France),Chris Marker
1997,Le chant du Styrène,7.0,N/A,914,13min,November 1958 (France),Alain Resnais
1998,Prison Break: The Road to Freedom,8.4,N/A,913,22min,TV Short 13 January 2007,Jim Barrett
1999,The Lovers & the Despot,6.5,65,912,1h 38min,23 September 2016 (USA),Ross Adam
